鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,車位移轉總面積平方公尺,建案名稱,棟及號,解約情形,Year,Month
下營區,房地(土地+建物),臺南市下營區健康路126巷2號,93.77,住,,,1030201,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0780728,194.63,3,2,2,有,無,1210160,6218,,0.0,0,,RPVNMLKKJIJFFCR98DA,0.0,0.0,0.0,,,,,,,103.0,2.0
東區,房地(土地+建物)+車位,臺南市東區中華東路三段３９９巷１１弄１６號八樓,38.16,住,,,1030527,土地1建物1車位1,八層，九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0880706,253.88,5,2,2,有,有,13500000,53175,坡道平面,41.4,0,,RPQOMLSLJIJFFCD97CA,156.93,0.0,9.76,,,,,,,103.0,5.0
安南區,房地(土地+建物),臺南市安南區義吉街１１２巷２１號,91.67,住,,,1030521,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1030716,194.03,4,3,4,有,有,10680000,55043,,0.0,0,,RPUNMLOLJIJFFBD77CA,188.83,0.0,5.2,,,,,,,103.0,5.0
安南區,房地(土地+建物),臺南市安南區義吉街１１２巷１３號,97.08,住,,,1030515,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1030716,200.17,4,2,4,有,有,10880000,54354,,0.0,0,,RPOOMLRLJIJFFBD57CA,194.8,0.0,5.37,,,,,,,103.0,5.0
安南區,房地(土地+建物),臺南市安南區義吉街１１２巷１５號,91.67,住,,,1030409,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1030716,194.03,4,2,4,有,有,9600000,49477,,0.0,0,,RPQOMLRLJIJFFBD77CA,188.83,0.0,5.2,,,,,,,103.0,4.0
麻豆區,房地(土地+建物),臺南市麻豆區巷口里新生南路696巷1號,95.16,住,,,1030618,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1030327,190.37,4,2,4,有,無,6750000,35457,,0.0,0,,RPVNMLNKJIJFFCR66DA,164.68,0.0,25.69,,,,,,,103.0,6.0
麻豆區,房地(土地+建物),臺南市麻豆區巷口里新生南路692號,109.22,住,,,1030618,土地1建物1車位0,全,四層,透天厝,住商用,見其他登記事項,1030327,218.88,4,2,4,有,無,8500000,38834,,0.0,0,,RPWNMLNKJIJFFCR76DA,192.58,0.0,26.3,,,,,,,103.0,6.0
北區,房地(土地+建物),臺南市北區文成三路９８８號,88.39,住,,,1030316,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1030429,209.68,4,2,4,有,無,16080000,76688,,0.0,0,,RPWNMLQJKIJFFAD97CA,186.99,0.0,22.69,,,,,,,103.0,3.0
安南區,房地(土地+建物),臺南市安南區義吉街１１８巷１６弄５號,95.53,住,,,1030526,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1030716,179.4,3,2,4,有,有,9080000,50613,,0.0,0,,RPUNMLPKKIJFFBD87CA,172.24,0.0,7.03,,,,,,,103.0,5.0
仁德區,土地,保甲段272地號,2928.85,,一般農業區,農牧用地,1030526,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6736000,2300,,0.0,0,,RPXOMLQLJIJFFFR57CA,0.0,0.0,0.0,,,,,,,103.0,5.0
仁德區,土地,保甲段252地號,3330.91,,一般農業區,農牧用地,1030526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7661000,2300,,0.0,0,,RPOPMLQLJIJFFFR76CA,0.0,0.0,0.0,,,,,,,103.0,5.0
仁德區,土地,保甲段257地號,16099.77,,一般農業區,農牧用地,1030526,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,37029000,2300,,0.0,0,,RPPPMLQLJIJFFFR86CA,0.0,0.0,0.0,,,,,,,103.0,5.0
善化區,土地,德興段691-1地號,727.77,,,,1030520,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7919425,10882,,0.0,0,,RPWNMLMLKIJFFER96CA,0.0,0.0,0.0,,,,,,,103.0,5.0
仁德區,土地,保甲段183地號,2982.82,,一般農業區,農牧用地,1030526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6860000,2300,,0.0,0,,RPVOMLSLJIJFFFR57CA,0.0,0.0,0.0,,,,,,,103.0,5.0
永康區,房地(土地+建物),臺南市永康區三民街７９巷３０弄５號,90.0,住,,,1030608,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031021,189.74,4,2,4,有,無,7300000,38474,,0.0,0,,RPTOMLPLKIJFFHR37CA,0.0,0.0,0.0,,,,,,,103.0,6.0
永康區,房地(土地+建物),臺南市永康區三民街７９巷３０弄９號,88.0,住,,,1030412,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031021,189.74,4,2,4,有,無,6750000,35575,,0.0,0,,RPQOMLPLKIJFFHR07CA,0.0,0.0,0.0,,,,,,,103.0,4.0
安南區,房地(土地+建物),臺南市安南區義吉街１１２巷２３號,91.68,住,,,1030207,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土構造,1030716,194.03,4,2,4,有,有,11500000,59269,,0.0,0,,RPTOMLQKKIJFFBD97CA,188.83,0.0,5.2,,,,,,,103.0,2.0
官田區,房地(土地+建物),臺南市官田區隆本里興隆街１１３號,85.52,住,,,1030214,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031021,190.76,4,2,5,有,無,6280000,32921,,0.0,0,3.	建商與地主合建案。地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由出賣人自行提供屬實,RPRNMLOJKIJFFCR88CA,180.44,3.56,6.76,,,,,,,103.0,2.0
官田區,房地(土地+建物),臺南市官田區隆本里信義街二段１３８號,82.51,住,,,1030302,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031021,192.78,4,2,5,有,無,5850000,30345,,0.0,0,3.	建商與地主合建案。地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由出賣人自行提供屬實,RPXNMLOJKIJFFCR86CA,174.32,0.0,18.46,,,,,,,103.0,3.0
永康區,房地(土地+建物),臺南市永康區三民街７９巷３０弄３號,93.0,住,,,1030112,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031021,192.97,4,2,4,有,無,6900000,35757,,0.0,0,,RPOOMLKMKIJFFHR09CA,0.0,0.0,0.0,,,,,,,103.0,1.0
永康區,房地(土地+建物),臺南市永康區三民街７９巷３０弄１１號,87.0,住,,,1030412,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031021,189.74,4,2,4,有,無,7000000,36893,,0.0,0,,RPQOMLKMKIJFFHR66CA,0.0,0.0,0.0,,,,,,,103.0,4.0
永康區,房地(土地+建物),臺南市永康區三民街７９巷３０弄１５號,131.0,住,,,1030531,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031021,196.8,4,2,4,有,無,7850000,39888,,0.0,0,,RPSOMLKMKIJFFHR86CA,0.0,0.0,0.0,,,,,,,103.0,5.0
永康區,房地(土地+建物),臺南市永康區三民街７９巷３０弄１２號,137.0,住,,,1030601,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031021,194.11,4,2,4,有,無,7800000,40183,,0.0,0,,RPUOMLKMKIJFFHR07CA,0.0,0.0,0.0,,,,,,,103.0,6.0
永康區,房地(土地+建物),臺南市永康區三民街７９巷３０弄７號,89.0,住,,,1030117,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031021,189.74,4,2,4,有,無,6900000,36366,,0.0,0,,RPVOMLKMKIJFFHR17CA,0.0,0.0,0.0,,,,,,,103.0,1.0
南區,土地,新都段241地號,11.18,其他,,,1030603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,17889,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLLKKIJFFCD27EA,0.0,0.0,0.0,,,,,,,103.0,6.0
南區,房地(土地+建物),臺南市南區三官路７０巷３５號,78.0,住,,,1030316,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,0650927,135.57,4,2,3,有,無,3800000,28030,,0.0,0,,RPPQMLPJJHKFFCD57CA,135.57,0.0,0.0,,,,,,,103.0,3.0
永康區,房地(土地+建物),臺南市永康區三民街７９巷３０弄６號,133.0,住,,,1030408,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031021,194.06,4,2,4,有,無,7900000,40709,,0.0,0,,RPROMLTJJHKFFHR27CA,0.0,0.0,0.0,,,,,,,103.0,4.0
安定區,土地,港口段3089地號,1265.0,,鄉村區,乙種建築用地,1030326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22194425,17545,,0.0,0,,RPSNMLTKKIJFFER17CA,0.0,0.0,0.0,,,,,,,103.0,3.0
永康區,房地(土地+建物),臺南市永康區三民街７９巷３０弄１３號,87.0,住,,,1030329,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031021,189.74,4,2,2,有,無,7000000,36893,,0.0,0,,RPQOMLPKJHKFFHR86CA,0.0,0.0,0.0,,,,,,,103.0,3.0
永康區,房地(土地+建物),臺南市永康區三民街７９巷３０弄１０號,140.0,住,,,1030619,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031021,194.06,4,2,4,有,無,8000000,41224,,0.0,0,,RPTOMLPKJHKFFHR17CA,0.0,0.0,0.0,,,,,,,103.0,6.0
永康區,房地(土地+建物),臺南市永康區大灣路１１９巷５８弄１０號,102.74,住,,,1030222,土地0建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1030925,236.66,4,2,6,有,無,9950000,42043,,0.0,0,,RPVOMLMLKIJFFHR27CA,221.25,0.0,15.41,,,,,,,103.0,2.0
永康區,房地(土地+建物),臺南市永康區三民街７９巷３０弄１８號,131.0,住,,,1030430,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031021,194.06,4,2,4,有,無,7800000,40194,,0.0,0,,RPWNMLTKJHKFFHR77CA,0.0,0.0,0.0,,,,,,,103.0,4.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷１８號,100.0,住,,,1030322,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,219.61,5,2,3,有,無,10700000,48723,,0.0,0,,RPTOMLQJJHKFFHR17CA,205.59,0.0,14.02,,,,,,,103.0,3.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷１６號,100.0,住,,,1030222,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,219.61,5,2,3,有,無,10580000,48176,,0.0,0,,RPWOMLQJJHKFFHR47CA,205.59,0.0,14.02,,,,,,,103.0,2.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷１２號,101.0,住,,,1030316,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,222.34,5,2,3,有,無,10950000,49249,,0.0,0,,RPXOMLQJJHKFFHR57CA,208.16,0.0,14.18,,,,,,,103.0,3.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷２２弄８號,93.0,住,,,1030222,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,197.04,5,2,3,有,無,9390000,47655,,0.0,0,,RPOPMLQJJHKFFHR76CA,185.61,0.0,11.43,,,,,,,103.0,2.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷２２弄１０號,93.0,住,,,1030409,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,197.04,5,2,3,有,無,9460000,48011,,0.0,0,,RPPPMLQJJHKFFHR86CA,185.61,0.0,11.43,,,,,,,103.0,4.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷２２弄２０號,98.0,住,,,1030623,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,196.35,5,2,3,有,無,9680000,49300,,0.0,0,,RPRPMLQJJHKFFHR07CA,180.11,0.0,16.24,,,,,,,103.0,6.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷２２弄２２號,98.0,住,,,1030330,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,196.35,5,2,3,有,無,8950000,45582,,0.0,0,,RPSPMLQJJHKFFHR17CA,180.11,0.0,16.24,,,,,,,103.0,3.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷２２弄２６號,99.0,住,,,1030421,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,196.35,5,2,3,有,無,9600000,48892,,0.0,0,,RPTPMLQJJHKFFHR27CA,180.11,0.0,16.24,,,,,,,103.0,4.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷２２弄３６號,99.0,住,,,1030509,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,196.35,5,2,3,有,無,9200000,46855,,0.0,0,,RPWPMLQJJHKFFHR57CA,180.11,0.0,16.24,,,,,,,103.0,5.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷２２弄３８號,99.0,住,,,1030528,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,196.35,5,2,3,有,無,9360000,47670,,0.0,0,,RPXPMLQJJHKFFHR67CA,180.11,0.0,16.24,,,,,,,103.0,5.0
永康區,房地(土地+建物),臺南市永康區龍中街651巷22弄40號,104.0,住,,,1030610,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,205.84,5,2,3,有,無,10400000,50525,,0.0,0,,RPQQMLQJJHKFFHR07CA,192.6,0.0,13.24,,,,,,,103.0,6.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷２２弄１５號,115.0,住,,,1030517,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,205.51,5,2,3,有,無,9900000,48173,,0.0,0,,RPRQMLQJJHKFFHR17CA,192.27,0.0,13.24,,,,,,,103.0,5.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷２２弄１７號,104.0,住,,,1030222,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,202.0,5,2,3,有,無,9300000,46040,,0.0,0,,RPTQMLQJJHKFFHR37CA,189.02,0.0,12.98,,,,,,,103.0,2.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷２２弄３３號,109.0,住,,,1030607,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,205.44,5,2,3,有,無,9800000,47702,,0.0,0,,RPPRMLQJJHKFFHR07CA,192.27,0.0,13.17,,,,,,,103.0,6.0
安南區,土地,頂安段248地號,381.07,其他,,,1030626,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,5248,,0.0,0,,RPPOMLSJJHKFFBD57CA,0.0,0.0,0.0,,,,,,,103.0,6.0
永康區,房地(土地+建物),臺南市永康區中山北路１６４巷６０之６號,89.0,住,,,1030618,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0940216,206.73,3,3,3,有,無,8000000,38698,,0.0,0,,RPTOMLTJJHKFFHR47CA,185.34,0.0,21.39,,,,,,,103.0,6.0
新化區,房地(土地+建物),臺南市新化區正新路３６３巷２０號十樓之４,11.49,住,,,1030605,土地0建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821207,77.57,3,2,1,有,有,1900000,24494,,0.0,0,受債權債務影響或債務抵償之交易。,RPUOMLNKJHKFFER76CA,54.55,0.0,11.72,,,,,,,103.0,6.0
永康區,房地(土地+建物),臺南市永康區龍中街６５１巷２２弄１６號,180.0,住,,,1030528,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031106,257.72,6,2,5,有,無,15000000,58203,,0.0,0,,RPOOMLPKJHKFFHR66CA,242.74,0.0,14.98,,,,,,,103.0,5.0
